Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/3355,1,0,165.6424000102561,165.6424000102561,165.6424000102561,165.6424000102561,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3359,1,0,165.72749998886138,165.72749998886138,165.72749998886138,165.72749998886138,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3361,1,0,161.2648000009358,161.2648000009358,161.2648000009358,161.2648000009358,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3362,1,0,160.67440001643263,160.67440001643263,160.67440001643263,160.67440001643263,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3364,1,0,162.99209999851882,162.99209999851882,162.99209999851882,162.99209999851882,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3365,1,0,163.9584999938961,163.9584999938961,163.9584999938961,163.9584999938961,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3366,1,0,163.85640000225976,163.85640000225976,163.85640000225976,163.85640000225976,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3367,1,0,169.1178999899421,169.1178999899421,169.1178999899421,169.1178999899421,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3368,1,0,169.80119998333976,169.80119998333976,169.80119998333976,169.80119998333976,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3369,1,0,165.24430000572465,165.24430000572465,165.24430000572465,165.24430000572465,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3370,1,0,172.57809999864548,172.57809999864548,172.57809999864548,172.57809999864548,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3375,1,0,164.6173000044655,164.6173000044655,164.6173000044655,164.6173000044655,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3376,1,0,166.5989000175614,166.5989000175614,166.5989000175614,166.5989000175614,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3377,1,0,166.49509998387657,166.49509998387657,166.49509998387657,166.49509998387657,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3378,1,0,162.59260001243092,162.59260001243092,162.59260001243092,162.59260001243092,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3379,1,0,165.97440000623465,165.97440000623465,165.97440000623465,165.97440000623465,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3380,1,0,166.48039998835884,166.48039998835884,166.48039998835884,166.48039998835884,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3381,1,0,163.8465999858454,163.8465999858454,163.8465999858454,163.8465999858454,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3382,1,0,165.19359999801964,165.19359999801964,165.19359999801964,165.19359999801964,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3383,1,0,166.9627999945078,166.9627999945078,166.9627999945078,166.9627999945078,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3384,1,0,162.84979999181814,162.84979999181814,162.84979999181814,162.84979999181814,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3392,1,0,160.50900000846013,160.50900000846013,160.50900000846013,160.50900000846013,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3393,1,0,162.50650002621114,162.50650002621114,162.50650002621114,162.50650002621114,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3394,1,0,160.59510002378374,160.59510002378374,160.59510002378374,160.59510002378374,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3395,1,0,167.1236999973189,167.1236999973189,167.1236999973189,167.1236999973189,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3396,1,0,168.81960001774132,168.81960001774132,168.81960001774132,168.81960001774132,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3397,1,0,165.88109999429435,165.88109999429435,165.88109999429435,165.88109999429435,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3398,1,0,166.26899997936562,166.26899997936562,166.26899997936562,166.26899997936562,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3399,1,0,165.10469999047928,165.10469999047928,165.10469999047928,165.10469999047928,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3400,1,0,164.2279000079725,164.2279000079725,164.2279000079725,164.2279000079725,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3403,1,0,181.47510002017953,181.47510002017953,181.47510002017953,181.47510002017953,7.0,0.03334331201792287,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/3407,1,0,160.0814999837894,160.0814999837894,160.0814999837894,160.0814999837894,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3408,1,0,165.72910000104457,165.72910000104457,165.72910000104457,165.72910000104457,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3409,1,0,166.11570000532083,166.11570000532083,166.11570000532083,166.11570000532083,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3410,1,0,163.32679998595268,163.32679998595268,163.32679998595268,163.32679998595268,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3411,1,0,161.94020002149045,161.94020002149045,161.94020002149045,161.94020002149045,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3412,1,0,164.76799998781644,164.76799998781644,164.76799998781644,164.76799998781644,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3413,1,0,162.5167999882251,162.5167999882251,162.5167999882251,162.5167999882251,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3414,1,0,164.97559999697842,164.97559999697842,164.97559999697842,164.97559999697842,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3415,1,0,169.84640000737272,169.84640000737272,169.84640000737272,169.84640000737272,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3418,1,0,187.50070000533015,187.50070000533015,187.50070000533015,187.50070000533015,7.0,0.03334331201792287,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/booking/3421,1,0,165.99769997992553,165.99769997992553,165.99769997992553,165.99769997992553,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3423,1,0,163.22840002248995,163.22840002248995,163.22840002248995,163.22840002248995,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3424,1,0,164.0897000033874,164.0897000033874,164.0897000033874,164.0897000033874,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3425,1,0,164.87659999984317,164.87659999984317,164.87659999984317,164.87659999984317,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3426,1,0,164.23670001677237,164.23670001677237,164.23670001677237,164.23670001677237,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3427,1,0,161.93079997901805,161.93079997901805,161.93079997901805,161.93079997901805,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3428,1,0,162.55069998442195,162.55069998442195,162.55069998442195,162.55069998442195,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3429,1,0,165.624499990372,165.624499990372,165.624499990372,165.624499990372,7.0,0.03334331201792287,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/3430,1,0,164.72000000067055,164.72000000067055,164.72000000067055,164.72000000067055,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3432,1,0,194.90249999216758,194.90249999216758,194.90249999216758,194.90249999216758,7.0,0.03334331201792287,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/booking/3435,1,0,159.54039999633096,159.54039999633096,159.54039999633096,159.54039999633096,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3437,1,0,162.17579998192377,162.17579998192377,162.17579998192377,162.17579998192377,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3438,1,0,161.99379999306984,161.99379999306984,161.99379999306984,161.99379999306984,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/3439,1,0,163.4798999875784,163.4798999875784,163.4798999875784,163.4798999875784,7.0,0.03334331201792287,0.0,160,160,160,160,160,160,160,160,160,160,160
